rank,name,uniprot,species,score,simiscore
1,DNA damage-inducible transcript 3 protein,Q91YW9,Mus musculus,0.007,1.585
2,MPI protein,n/a,Homo sapiens,0.02,1.55
3,VEGFR-1 (Flt-1),F5H5L6,Homo sapiens,0.033,1.542
4,EGF-R Tyrosine Kinase,P55245,Homo sapiens,1.0,1.533
5,Mitogen-activated protein kinase 10 (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3) (MAP kinase p49 3F12).,A6NG28,Homo sapiens,0.014,1.53
6,nuclear receptor subfamily 1 group I member 2 isoform 1,O75469,Homo sapiens,0.013,1.514
7,"karyopherin alpha 2 (RAG cohort 1, importin alpha 1), isoform CRA_b",Q9BRU5,Homo sapiens,0.013,1.509
8,DNA topoisomerase II alpha/beta,B2RTS1,Homo sapiens,0.014,1.503
9,Dihydrofolate Reductase (DHFR),P00374,Homo sapiens,0.014,1.495
10,PDGFR-beta,P09619,Homo sapiens,0.101,1.493
11,Fatty Acid Amide Hydrolase,Q5BKA3,Rattus norvegicus,0.077,1.493
12,Sodium channel protein type X alpha subunit,Q62968,Rattus norvegicus,0.046,1.492
13,insulin-degrading enzyme isoform 1 precursor,Q5T5N2,Homo sapiens,0.007,1.489
14,EGF-R Tyrosine Kinase,P00533,Homo sapiens,0.199,1.487
15,Progesterone receptor,A7X8B0,Homo sapiens,0.014,1.481
16,5-hydroxytryptamine receptor 3A,n/a,Homo sapiens,0.013,1.477
17,Protein kinase B (Akt 1),B2RAM5,Homo sapiens,0.02,1.475
18,Cannabinoid receptor 1,P21554,Homo sapiens,0.052,1.471
19,Hsf1 protein,n/a,Mus musculus,0.084,1.471
20,Cannabinoid Receptor 2,P34972,Homo sapiens,0.073,1.471
21,Coagulation factor XII precursor (Hageman factor) (HAF),P00748,Homo sapiens,0.02,1.468
22,"Vanilloid Receptor 1 (TRPV1, VR1)",n/a,Homo sapiens,0.117,1.466
23,Cathepsin G,Q6IBJ6,Homo sapiens,0.026,1.466
24,"Vanilloid Receptor 1 (TRPV1, VR1)",Q9JLM0,Rattus norvegicus,0.007,1.464
25,LANA,n/a,Human herpesvirus 8,0.032,1.464
26,v-rel reticuloendotheliosis viral oncogene homolog A isoform 1,Q6GTV1,Homo sapiens,0.123,1.464
