,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,1HWU,3.789,0.9472,NONE,SIGNALING PROTEIN,OTHER,NONE,False
1,1U2E,3.742,0.9355,2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase,HYDROLASE,HYDROLASES,P77044,False
2,1WFH,3.462,0.8654,Zinc finger A20 and AN1 domain-containing stress-associated protein 4,METAL BINDING PROTEIN,OTHER,Q9SJM6,False
3,2VIG,4.297,0.8595,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",OXIDOREDUCTASE,OXIDOREDUCTASES,P16219,False
4,1LNS,4.297,0.8595,Xaa-Pro dipeptidyl-peptidase,HYDROLASE,HYDROLASES,P22346,False
5,2CO9,3.351,0.8379,Thymocyte selection-associated high mobility group box protein TOX,TRANSCRIPTION,OTHER,Q66JW3,False
6,1Y1U,4.166,0.8333,Signal transducer and activator of transcription 5A,SIGNALING PROTEIN,OTHER,P42230,False
7,1OZG,2.992,0.7481,"Acetolactate synthase, catabolic",LYASE,TRANSFERASES,P27696,False
8,3B3D,2.985,0.7462,Uncharacterized oxidoreductase ytbE,OXIDOREDUCTASE,OXIDOREDUCTASES,O34678,False
9,1WYM,2.981,0.7453,Transgelin-2,STRUCTURAL PROTEIN,OTHER,P37802,False
10,2D5N,2.957,0.7392,Riboflavin biosynthesis protein ribD,"HYDROLASE, OXIDOREDUCTASE",OTHER,P17618,False
11,3FMO,2.949,0.7372,Nuclear pore complex protein Nup214,Oncoprotein/Hydrolase,OTHER,P35658,False
12,2GB5,4.384,0.7306,NADH pyrophosphatase,HYDROLASE,HYDROLASES,P32664,False
13,1S40,4.369,0.7281,Cell division control protein 13,CELL CYCLE/DNA,OTHER,P32797,False
14,2R4V,2.903,0.7257,Chloride intracellular channel protein 2,TRANSPORT PROTEIN,OTHER,O15247,False
15,1V4A,2.896,0.724,Glutamate-ammonia-ligase adenylyltransferase,TRANSFERASE,OTHER,P30870,False
16,2ZXH,4.341,0.7234,tRNA uridine 5-carboxymethylaminomethyl modification enzyme mnmG,FAD-BINDING PROTEIN,OTHER,O66962,False
17,2YRV,2.877,0.7193,AT-rich interactive domain-containing protein 4A,TRANSCRIPTION,OTHER,P29374,False
18,1VRB,4.299,0.7165,Uncharacterized protein yxbC,OXIDOREDUCTASE,OTHER,P46327,False
19,3CSK,4.284,0.7141,Probable dipeptidyl-peptidase 3,HYDROLASE,HYDROLASES,Q08225,False
20,2NZ2,2.854,0.7135,Argininosuccinate synthase,LIGASE,LIGASES,P00966,False
21,1V1F,4.277,0.7128,Calcineurin B-like protein 4,SIGNALLING PROTEIN,OTHER,O81223,False
22,2R7X,4.254,0.709,RNA-directed RNA polymerase,transferase/RNA,TRANSFERASES,O37061,False
23,2CSX,2.834,0.7085,Methionyl-tRNA synthetase,Ligase/RNA,LIGASES,O67298,False
24,1ZR4,2.804,0.7009,Transposon gamma-delta resolvase,RECOMBINATION/DNA,OTHER,P03012,False
25,2CSW,4.165,0.6942,E3 ubiquitin-protein ligase RNF8,LIGASE,TRANSFERASES,O76064,False
26,1GTT,2.765,0.6913,Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,ISOMERASE,OTHER,P37352,False
27,1JL2,2.714,0.6785,Ribonuclease HI,HYDROLASE,HYDROLASES,P0A7Y6,False
28,2IG7,4.06,0.6767,Choline/ethanolamine kinase,TRANSFERASE,OTHER,Q9Y259,False
29,2Q3M,3.985,0.6641,Flavonol sulfotransferase-like,TRANSFERASE,TRANSFERASES,P52839,False
