,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,2CYG,4.999,0.9998,NONE,HYDROLASE,HYDROLASES,NONE,False
1,2J96,4.897,0.9794,Phycoerythrocyanin alpha chain,PHOTOSYNTHESIS,OTHER,P00309,False
2,2YWW,4.867,0.9735,Aspartate carbamoyltransferase regulatory chain,METAL BINDING PROTEIN,OTHER,Q58801,False
3,1N6B,4.673,0.9347,Cytochrome P450 2C5,OXIDOREDUCTASE,OXIDOREDUCTASES,P00179,False
4,1ID3,5.58,0.9299,Histone H3,STRUCTURAL PROTEIN/DNA,OTHER,P61830,False
5,2FBW,4.583,0.9166,"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",OXIDOREDUCTASE,OXIDOREDUCTASES,Q9YHT1,False
6,3C7G,5.431,0.9052,Arabinoxylan arabinofuranohydrolase,HYDROLASE,HYDROLASES,Q45071,False
7,2E7U,4.496,0.8992,"Glutamate-1-semialdehyde 2,1-aminomutase",ISOMERASE,ISOMERASES,Q5SJS4,False
8,2GP6,4.495,0.899,3-oxoacyl-[acyl-carrier-protein] synthase 2,TRANSFERASE,TRANSFERASES,P63456,False
9,2UVN,4.495,0.899,Putative cytochrome P450 130,OXIDOREDUCTASE,OXIDOREDUCTASES,Q11062,False
10,1TNQ,4.495,0.8989,"Troponin C, skeletal muscle",CALCIUM-BINDING PROTEIN,OTHER,P02588,False
11,2BK3,4.494,0.8988,Amine oxidase [flavin-containing] B,OXIDOREDUCTASE,OXIDOREDUCTASES,AOFB_HUMAN,False
12,1IVX,4.492,0.8983,Phenylethylamine oxidase,OXIDOREDUCTASE,OXIDOREDUCTASES,PAOX_ARTGO,False
13,1VL7,4.485,0.8969,Alr5027 protein,OXIDOREDUCTASE,OXIDOREDUCTASES,Q8YMA7,False
14,2H08,4.484,0.8967,Ribose-phosphate pyrophosphokinase 1,TRANSFERASE,TRANSFERASES,P60891,False
15,2AXX,4.48,0.896,Cytochrome b5,ELECTRON TRANSPORT,OXIDOREDUCTASES,P00173,False
16,3G9K,4.477,0.8954,Capsule biosynthesis protein capD,HYDROLASE,HYDROLASES,Q51693,False
17,1X1F,4.476,0.8953,Signal-transducing adaptor protein 1,SIGNALING PROTEIN,OTHER,Q9ULZ2,False
18,1IQ3,4.475,0.8949,RalBP1-associated Eps domain-containing protein 2,ENDOCYTOSIS/EXOCYTOSIS,OTHER,Q8NFH8,False
19,2G18,4.474,0.8949,Phycocyanobili,OXIDOREDUCTASE,OXIDOREDUCTASES,Q93TN0,False
20,1XES,4.471,0.8943,Dihydropinosylvin synthase,TRANSFERASE,TRANSFERASES,Q02323,False
21,2VOJ,4.468,0.8937,Alanine dehydrogenase,OXIDOREDUCTASE,OXIDOREDUCTASES,P30234,False
