,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,2GNX,3.996,0.999,UPF0536 protein C12orf66 homolog,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q6P1I3,False
1,2I7K,3.994,0.9984,Bromodomain-containing protein 7,TRANSCRIPTION,OTHER,Q9NPI1,False
2,4QQK,2.991,0.997,NONE,TRANSFERASE,TRANSFERASES,NONE,False
3,1QU6,2.953,0.9845,"Interferon-induced, double-stranded RNA-activated protein kinase",TRANSFERASE,TRANSFERASES,P19525,False
4,3B8C,3.923,0.9808,"ATPase 2, plasma membrane-type",ERROR try this entry again,OTHER,P19456,False
5,1B93,3.902,0.9755,Methylglyoxal synthase,LYASE,LYASES,P0A731,False
6,3FMO,3.892,0.973,Nuclear pore complex protein Nup214,Oncoprotein/Hydrolase,HYDROLASES,P35658,False
7,1QZ2,3.854,0.9636,FK506-binding protein 4,ISOMERASE/CHAPERONE,ISOMERASES,FKBP4_HUMAN,False
8,2DWK,2.885,0.9617,Protein RUFY3,PROTEIN BINDING,OTHER,Q9D394,False
9,3GI8,2.81,0.9368,Uncharacterized protein MJ0609,TRANSPORT PROTEIN,TRANSLOCASES,Q58026,False
10,2CR7,3.734,0.9335,Paired amphipathic helix protein Sin3b,GENE REGULATION,OTHER,Q62141,False
11,1KU5,3.733,0.9332,Archaeal histone A,DNA BINDING PROTEIN,OTHER,O74098,False
12,1OY0,3.73,0.9326,3-methyl-2-oxobutanoate hydroxymethyltransferase,TRANSFERASE,TRANSFERASES,P0A5Q8,False
13,2GFP,3.716,0.9289,Multidrug resistance protein D,MEMBRANE PROTEIN,TRANSLOCASES,P31442,False
14,2JWE,3.713,0.9282,Tight junction protein ZO-1,CELL ADHESION,OTHER,Q07157,False
15,2A2G,3.711,0.9278,Major urinary protein,LIPID BINDING PROTEIN,OTHER,P02761,False
16,1D06,3.71,0.9276,Sensor protein fixL,SIGNALING PROTEIN,OTHER,P10955,False
17,1IG3,3.708,0.927,Thiamin pyrophosphokinase 1,TRANSFERASE,TRANSFERASES,Q9H3S4,False
18,2DQN,3.708,0.927,Glutamyl-tRNA(Gln) amidotransferase subunit A,LIGASE,LIGASES,P63488,False
19,3CKI,3.705,0.9261,ADAM 17,"Hydrolase, hydrolase inhibitor",HYDROLASES,ADA17_HUMAN,False
20,1MKM,3.704,0.9259,"Transcriptional regulator, IclR family",TRANSCRIPTION,OTHER,Q9WXS0,False
21,1J3N,3.704,0.9259,Transferase,TRANSFERASE,TRANSFERASES,Q7SIC5,False
22,3BXZ,3.704,0.9259,Protein translocase subunit secA,TRANSPORT PROTEIN,TRANSLOCASES,P10408,False
23,2NRO,3.701,0.9252,Molybdopterin biosynthesis protein moeA,BIOSYNTHETIC PROTEIN,LIGASES,P12281,False
24,3BHY,3.701,0.9252,Death-associated protein kinase 3,TRANSFERASE,TRANSFERASES,DAPK3_HUMAN,False
25,2PP4,3.699,0.9248,Protein CBFA2T1,TRANSCRIPTION,OTHER,MTG8_HUMAN,False
26,1ZRT,3.697,0.9242,Ubiquinol-cytochrome c reductase iron-sulfur subunit,ELECTRON TRANSPORT,OXIDOREDUCTASES,P08500,False
27,1OSA,3.696,0.9241,Calmodulin,CALCIUM-BINDING PROTEIN,OTHER,P07463,False
28,2E02,3.695,0.9239,"Cysteine proteinase 1, mitochondrial",HYDROLASE,HYDROLASES,Q01532,False
29,1IEB,3.693,0.9233,"H-2 class II histocompatibility antigen, E-D alpha chain",HISTOCOMPATIBILITY ANTIGEN,OTHER,P01904,False
30,1T11,2.77,0.9232,Trigger factor,CHAPERONE,OTHER,Q9KQS5,False
31,2EX5,3.69,0.9225,DNA endonuclease I-CeuI,Hydrolase/DNA,HYDROLASES,P32761,False
32,2JHQ,3.689,0.9223,Uracil-DNA glycosylase,HYDROLASE,HYDROLASES,Q9KPK8,False
33,2I15,3.684,0.9209,Uncharacterized protein MG296 homolog,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,P75364,False
34,3CT4,3.681,0.9203,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit dhaK",TRANSFERASE,TRANSFERASES,Q9CIV8,False
35,2WDV,3.679,0.9198,Succinate dehydrogenase flavoprotein subunit,OXIDOREDUCTASE,OXIDOREDUCTASES,P0AC41,False
36,2EW0,3.674,0.9185,UPF0301 protein ACIAD0353,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q6FF54,False
37,2V0V,3.663,0.9157,Nuclear receptor subfamily 1 group D member 2,TRANSCRIPTION,OTHER,Q14995,False
38,1E00,3.662,0.9156,Odorant-binding protein,ODORANT BINDING PROTEIN,OTHER,P81245,False
39,2OWI,3.659,0.9147,Regulator of G-protein signaling 18,SIGNALING PROTEIN,OTHER,RGS18_HUMAN,False
40,2VEQ,3.643,0.9109,Centromere DNA-binding protein complex CBF3 subunit B,CELL CYCLE,OTHER,P40969,False
41,1N2S,3.605,0.9012,dTDP-4-dehydrorhamnose reductase,OXIDOREDUCTASE,OXIDOREDUCTASES,P26392,False
42,1CLZ,3.603,0.9008,Ig gamma-3 chain C region,IMMUNOGLOBULIN,OTHER,P03987,False
43,1SSE,3.603,0.9008,AP-1-like transcription factor YAP1,TRANSCRIPTION ACTIVATOR,OTHER,P19880,False
44,1RF8,3.599,0.8997,Eukaryotic translation initiation factor 4E,"BIOSYNTHETIC PROTEIN, TRANSLATION",TRANSLOCASES,P07260,False
45,1EVY,3.599,0.8996,"Glycerol-3-phosphate dehydrogenase [NAD+], glycosomal",OXIDOREDUCTASE,OXIDOREDUCTASES,P90551,True
46,1LJ0,3.584,0.896,Cytochrome b5 type B,ELECTRON TRANSPORT,OXIDOREDUCTASES,P04166,False
47,1LJP,3.58,0.8949,Beta-elicitin cinnamomin,TOXIN,OTHER,P15569,False
48,1YAA,3.562,0.8904,"Aspartate aminotransferase, cytoplasmic",AMINOTRANSFERASE,TRANSFERASES,P23542,False
49,3HKI,3.558,0.8895,Prothrombin,HYDROLASE,HYDROLASES,P19221,False
50,2YXR,3.553,0.8883,Preprotein translocase subunit secY,PROTEIN TRANSPORT,TRANSLOCASES,Q60175,False
51,1FJ4,3.543,0.8856,3-oxoacyl-[acyl-carrier-protein] synthase 1,TRANSFERASE,TRANSFERASES,P0A953,False
52,1IRZ,3.532,0.883,Two-component response regulator ARR10,DNA BINDING PROTEIN,OTHER,O49397,False
53,2AYN,4.405,0.881,Ubiquitin carboxyl-terminal hydrolase 14,HYDROLASE,HYDROLASES,UBP14_HUMAN,False
54,1FFT,3.519,0.8798,Ubiquinol oxidase subunit 1,OXIDOREDUCTASE,OXIDOREDUCTASES,P0ABI8,False
55,1XAG,3.516,0.8791,3-dehydroquinate synthase,LYASE,LYASES,Q6GGU4,False
56,2Q2E,3.5,0.8749,Type II DNA topoisomerase VI subunit A,ISOMERASE,ISOMERASES,Q8PUB7,False
57,1XIO,3.492,0.8729,Bacteriorhodopsin,SIGNALING PROTEIN,OTHER,Q8YSC4,False
58,2QTZ,3.49,0.8724,"Methionine synthase reductase, mitochondrial",OXIDOREDUCTASE,OXIDOREDUCTASES,Q9UBK8,False
59,3EMJ,3.49,0.8724,Inorganic pyrophosphatase,HYDROLASE,HYDROLASES,Q9ZCW5,False
60,2JUB,3.469,0.8672,Internal protein I,Endonuclease Inhibitor,OTHER,P03718,False
61,2YWW,4.311,0.8622,Aspartate carbamoyltransferase regulatory chain,METAL BINDING PROTEIN,OTHER,Q58801,False
62,1M1B,3.443,0.8608,Phosphoenolpyruvate phosphomutase,ISOMERASE,ISOMERASES,P56839,False
