,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,2JQD,2.495,0.8317,Acidic leucine-rich nuclear phosphoprotein 32 family member A,"GENE REGULATION, PROTEIN BINDING",OTHER,O35381,False
1,4AYT,2.491,0.8304,NONE,MEMBRANE PROTEIN,TRANSLOCASES,NONE,False
2,1GGZ,2.471,0.8237,Calmodulin-like protein 3,METAL BINDING PROTEIN,OTHER,P27482,False
3,1BDG,2.471,0.8237,Hexokinase,HEXOKINASE,TRANSFERASES,Q26609,False
4,3EPY,2.471,0.8237,Acyl-CoA-binding domain-containing protein 7,LIPID BINDING PROTEIN,OTHER,Q8N6N7,False
5,1VIM,2.466,0.8221,Hypothetical protein AF_1796,"Structural genomics, unknown function",OTHER,O28478,False
6,1H3B,2.466,0.8219,Squalene--hopene cyclase,ISOMERASE,ISOMERASES,P33247,False
7,1QZT,2.464,0.8215,Phosphate acetyltransferase,TRANSFERASE,TRANSFERASES,P38503,False
8,1Z0D,2.461,0.8204,Ras-related protein Rab-5C,PROTEIN TRANSPORT,TRANSLOCASES,P35278,False
9,1QWG,2.456,0.8187,Phosphosulfolactate synthase,LYASE,LYASES,Q57703,False
10,1GK5,2.454,0.818,Pro-epidermal growth factor,GROWTH FACTOR,OTHER,P01132,False
11,3DH4,2.453,0.8177,Sodium/glucose cotransporter,TRANSPORT PROTEIN,TRANSLOCASES,SGLT_VIBPA,False
12,2NPU,2.45,0.8166,FKBP12-rapamycin complex-associated protein,TRANSFERASE,TRANSFERASES,FRAP_HUMAN,False
13,1NLM,2.449,0.8164,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,TRANSFERASE,TRANSFERASES,P17443,False
14,3DZ7,2.44,0.8134,S-adenosylmethionine decarboxylase proenzyme,LIGASE,LIGASES,P17707,False
15,1M3S,2.437,0.8124,3-hexulose-6-phosphate isomerase,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,P42404,False
16,1CQA,2.437,0.8122,Profilin,CONTRACTILE PROTEIN,OTHER,P25816,False
17,2PIH,2.435,0.8117,Uncharacterized protein ymcA,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,O31779,False
18,1S68,2.435,0.8115,RNA ligase 2,LIGASE,LIGASES,P32277,False
19,3DUZ,2.432,0.8107,Major envelope glycoprotein,VIRAL PROTEIN,OTHER,P17501,False
20,2VRW,2.432,0.8106,Ras-related C3 botulinum toxin substrate 1,SIGNALING PROTEIN,OTHER,RAC1_HUMAN,False
21,1VLI,2.425,0.8085,Spore coat polysaccharide biosynthesis protein spsE,BIOSYNTHETIC PROTEIN,LIGASES,P39625,False
22,1O9Y,2.425,0.8083,Type III secretion protein hrcQb,STRUCTURAL PROTEIN,OTHER,O85094,False
23,2HDP,2.424,0.8081,E3 ubiquitin-protein ligase Mdm2,LIGASE,LIGASES,MDM2_HUMAN,False
24,1IJE,2.424,0.8081,Elongation factor 1-alpha,TRANSLATION,TRANSLOCASES,P02994,False
25,2PJW,2.423,0.8077,Class E vacuolar protein-sorting machinery protein HSE1,ENDOCYTOSIS/EXOCYTOSIS,OTHER,P38753,False
26,2DGR,2.418,0.8059,RNA-binding protein MEX3D,RNA BINDING PROTEIN,TRANSLOCASES,Q86XN8,False
27,2D6F,2.406,0.802,Glutamyl-tRNA(Gln) amidotransferase subunit D,ligase/RNA,LIGASES,O26802,False
28,1V5V,2.401,0.8005,Probable aminomethyltransferase,TRANSFERASE,TRANSFERASES,O58888,False
29,1F3B,2.401,0.8003,Glutathione S-transferase A1,TRANSFERASE,TRANSFERASES,P13745,False
30,2IRP,2.393,0.7977,Methylthioribulose-1-phosphate dehydratase,LYASE,LYASES,O67788,False
31,1U2W,2.388,0.796,Cadmium efflux system accessory protein,DNA BINDING PROTEIN,OTHER,P20047,False
32,2P67,2.382,0.7938,LAO/AO transport system kinase,TRANSFERASE,TRANSFERASES,P27254,False
33,1GT5,2.379,0.793,Odorant-binding protein,LIPOCALIN,OTHER,P07435,False
34,1J1E,2.375,0.7917,"Troponin C, slow skeletal and cardiac muscles",CONTRACTILE PROTEIN,OTHER,P63316,False
35,2V3C,2.354,0.7847,Signal recognition particle 19 kDa protein,SIGNALING PROTEIN,OTHER,Q58440,False
36,2ZM5,2.354,0.7847,tRNA Delta(2)-isopentenylpyrophosphate transferase,TRANSFERASE/RNA,TRANSFERASES,P16384,False
37,1GHH,2.354,0.7847,DNA-damage-inducible protein I,PROTEIN BINDING,OTHER,P0ABR1,False
38,1WH9,2.346,0.7821,40S ribosomal protein S3,RIBOSOME,OTHER,P23396,False
39,1D4M,2.334,0.778,Genome polyprotein,VIRUS,OTHER,P21404,False
40,3HZQ,2.327,0.7755,Large-conductance mechanosensitive channel,MEMBRANE PROTEIN,TRANSLOCASES,P68806,False
41,1XK4,2.321,0.7738,Protein S100-A8,METAL BINDING PROTEIN,OTHER,S10A8_HUMAN,False
42,1TU1,2.319,0.7731,Hypothetical protein,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q9I738,False
43,1QU6,2.312,0.7706,"Interferon-induced, double-stranded RNA-activated protein kinase",TRANSFERASE,TRANSFERASES,P19525,False
44,3FYS,2.31,0.7701,Protein degV,FATTY ACID-BINDING PROTEIN,HYDROLASES,P32436,False
45,2I1Y,2.309,0.7698,Receptor-type tyrosine-protein phosphatase-like N,HYDROLASE,HYDROLASES,Q16849,False
46,2DWK,2.302,0.7673,Protein RUFY3,PROTEIN BINDING,OTHER,Q9D394,False
47,3GI8,2.269,0.7564,Uncharacterized protein MJ0609,TRANSPORT PROTEIN,TRANSLOCASES,Q58026,False
48,2NYA,2.264,0.7548,Periplasmic nitrate reductase,OXIDOREDUCTASE,OXIDOREDUCTASES,P33937,False
49,1T11,2.25,0.7501,Trigger factor,CHAPERONE,OTHER,Q9KQS5,False
50,1B93,2.996,0.7491,Methylglyoxal synthase,LYASE,LYASES,P0A731,False
51,1N8Z,2.976,0.7439,Receptor tyrosine-protein kinase erbB-2,TRANSFERASE,TRANSFERASES,ERBB2_HUMAN,False
52,1JL2,2.974,0.7435,Ribonuclease HI,HYDROLASE,HYDROLASES,P0A7Y6,False
53,2CST,2.967,0.7419,"Aspartate aminotransferase, cytoplasmic",TRANSFERASE(AMINOTRANSFERASE),TRANSFERASES,P00504,False
54,2I7X,2.946,0.7365,Cleavage and polyadenylation specificity factor subunit 3,"RNA BINDING PROTEIN, PROTEIN BINDING",OTHER,CPSF3_HUMAN,False
55,3FMO,2.919,0.7298,Nuclear pore complex protein Nup214,Oncoprotein/Hydrolase,HYDROLASES,P35658,False
56,2QFD,2.917,0.7293,Probable ATP-dependent RNA helicase DDX58,HYDROLASE,HYDROLASES,DDX58_HUMAN,False
57,1YAV,2.893,0.7233,Uncharacterized protein ykuL,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,O31698,False
58,2FJK,2.842,0.7104,Fructose-bisphosphate aldolase,LYASE,LYASES,Q703I2,False
59,1K7A,2.827,0.7069,Protein C-ets-1,TRANSCRIPTION/DNA,OTHER,P27577,False
60,2GNX,2.827,0.7067,UPF0536 protein C12orf66 homolog,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q6P1I3,False
61,1N44,2.799,0.6999,Annexin A5,LIPID BINDING PROTEIN,OTHER,P14668,False
