,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,4B5G,2.923,0.7307,NONE,HYDROLASE/DNA,HYDROLASES,NONE,False
1,1LK3,2.921,0.7303,Interleukin-10,IMMUNE SYSTEM,OTHER,IL10_HUMAN,False
2,1K7A,2.886,0.7216,Protein C-ets-1,TRANSCRIPTION/DNA,OTHER,P27577,False
3,1UYR,2.812,0.703,Acetyl-CoA carboxylase,TRANSFERASE,TRANSFERASES,Q00955,False
4,1W07,2.76,0.6901,"Acyl-coenzyme A oxidase 1, peroxisomal",OXIDOREDUCTASE,OXIDOREDUCTASES,O65202,False
5,2OQC,2.76,0.69,Uncharacterized protein yxeI,HYDROLASE,HYDROLASES,P54948,False
6,1M1B,2.722,0.6805,Phosphoenolpyruvate phosphomutase,ISOMERASE,ISOMERASES,P56839,False
7,2EON,2.594,0.6484,Zinc finger protein with KRAB and SCAN domains 5,TRANSCRIPTION,OTHER,ZKSC5_HUMAN,False
8,1KA9,2.465,0.6162,Imidazole glycerol phosphate synthase subunit hisF,TRANSFERASE,TRANSFERASES,Q7SIB9,False
9,2AQT,2.434,0.6085,Superoxide dismutase [Cu-Zn],OXIDOREDUCTASE,OXIDOREDUCTASES,Q59623,False
10,1BSL,2.918,0.5836,Alkanal monooxygenase beta chain,FLAVOPROTEIN,OXIDOREDUCTASES,P07739,False
11,1RKS,2.912,0.5824,Ribokinase,TRANSFERASE,TRANSFERASES,P0A9J6,False
12,2HJS,2.898,0.5795,USG-1 protein homolog,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,O87014,False
13,1EM2,2.763,0.5526,StAR-related lipid transfer protein 3,LIPID BINDING PROTEIN,OTHER,Q14849,False
14,1Y1U,2.761,0.5522,Signal transducer and activator of transcription 5A,SIGNALING PROTEIN,OTHER,P42230,False
15,1VCP,2.655,0.5311,Structural polyprotein,VIRAL PROTEIN,OTHER,P03315,False
16,1Z0J,2.643,0.5286,Ras-related protein Rab-22A,PROTEIN TRANSPORT,TRANSLOCASES,P35285,False
17,2Z6E,2.631,0.5263,Disheveled-associated activator of morphogenesis 1,PROTEIN FIBRIL REGULATOR,OTHER,Q9Y4D1,False
18,1URJ,2.564,0.5129,Major DNA-binding protein,DNA BINDING PROTEIN,OTHER,P04296,False
19,2DVK,2.95,0.4916,UPF0130 protein APE_0816,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q9YDV3,False
20,3C72,2.948,0.4914,Geranylgeranyl transferase type-2 subunit alpha,TRANSFERASE,TRANSFERASES,Q08602,False
21,1F5Z,2.941,0.4902,N-acetylneuraminate lyase,LYASE,LYASES,P44539,False
22,2RKJ,2.905,0.4842,"Tyrosyl-tRNA synthetase, mitochondrial",Ligase/RNA,LIGASES,P12063,False
23,1W9C,2.896,0.4827,Exportin-1,NUCLEAR PROTEIN,OTHER,XPO1_HUMAN,False
24,1WF8,2.89,0.4816,Neurabin-1,PROTEIN BINDING,OTHER,Q9ULJ8,False
25,1LRW,2.866,0.4776,Methanol dehydrogenase subunit 1,OXIDOREDUCTASE,OXIDOREDUCTASES,P12293,False
26,1FSU,2.833,0.4722,Arylsulfatase B,HYDROLASE,HYDROLASES,ARSB_HUMAN,False
27,1RSO,2.833,0.4722,Disks large homolog 1,NEUROPEPTIDE/MEMBRANE PROTEIN,OTHER,Q62696,False
28,1QE0,2.826,0.4711,Histidyl-tRNA synthetase,LIGASE,LIGASES,P60911,False
29,1KU9,2.816,0.4694,DNA-binding protein MJ1563,DNA BINDING PROTEIN,OTHER,Q58958,False
30,1TXK,2.815,0.4692,Glucans biosynthesis protein G,BIOSYNTHETIC PROTEIN,LIGASES,P33136,False
31,1QJX,2.807,0.4678,Genome polyprotein,VIRUS,OTHER,Q82122,False
32,1QGK,2.8,0.4666,Importin subunit beta-1,TRANSPORT RECEPTOR,TRANSLOCASES,Q14974,False
