"Ligand: NQH
"
Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,"Idication
"
2jqd_A_cavity_1,3,2.497,0.8322,3,0,0,0,0,0,Acidic leucine-rich nuclear phosphoprotein 32 family member A,NONE,O35381,NONE,NONE,"NONE
"
4q79_E_cavity_1,3,2.489,0.8295,3,0,0,0,0,0,NONE,NONE,NONE,NONE,NONE,"NONE
"
3epy_B_cavity_1,3,2.472,0.824,3,0,0,0,0,0,Acyl-CoA-binding domain-containing protein 7,NONE,Q8N6N7,NONE,NONE,"NONE
"
1ggz_A_cavity_1,3,2.47,0.8232,3,0,0,0,0,0,Calmodulin-like protein 3,NONE,P27482,NONE,NONE,"NONE
"
1z0d_A_cavity_1,3,2.461,0.8202,3,0,0,0,0,0,Ras-related protein Rab-5C,NONE,P35278,NONE,NONE,"NONE
"
1gk5_A_cavity_1,3,2.46,0.8201,3,0,0,0,0,0,Pro-epidermal growth factor,NONE,P01132,NONE,NONE,"NONE
"
1vim_B_cavity_2,3,2.45,0.8165,3,0,0,0,0,0,Hypothetical protein AF_1796,NONE,O28478,Involved in sugar binding,NONE,"NONE
"
1bdg_A_cavity_4,3,2.447,0.8158,3,0,0,0,0,0,Hexokinase,NONE,Q26609,Involved in hexokinase activity,NONE,"NONE
"
1nlm_A_cavity_2,3,2.447,0.8158,3,0,0,0,0,0,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase,NONE,P17443,Cell wall/membrane/envelope biogenesis,NONE,"NONE
"
1cqa_A_cavity_1,3,2.443,0.8142,3,0,0,0,0,0,Profilin,NONE,P25816,NONE,NONE,"NONE
"
1h3b_C_cavity_7,3,2.442,0.8139,3,0,0,0,0,0,Squalene--hopene cyclase,NONE,P33247,Lipid transport and metabolism,NONE,"NONE
"
3dz7_A_cavity_2,3,2.442,0.8139,3,0,0,0,0,0,S-adenosylmethionine decarboxylase proenzyme,NONE,P17707,Involved in adenosylmethionine decarboxylase activity,NONE,"S-Adenosylmethionine (SAMe) is used as a drug in Europe for the treatment of depression, liver disorders, fibromyalgia, and osteoarthritis. It has also been introduced into the United States market as a dietary supplement for the support of bone and joint health, as well as mood and emotional well being.
"
1m3s_A_cavity_3,3,2.441,0.8136,3,0,0,0,0,0,3-hexulose-6-phosphate isomerase,NONE,P42404,NONE,NONE,"NONE
"
3duz_A_cavity_3,3,2.44,0.8133,3,0,0,0,0,0,Major envelope glycoprotein,NONE,P17501,NONE,NONE,"NONE
"
1vli_A_cavity_4,3,2.434,0.8113,3,0,0,0,0,0,Spore coat polysaccharide biosynthesis protein spsE,NONE,P39625,NONE,NONE,"NONE
"
1o9y_C_cavity_2,3,2.433,0.8111,3,0,0,0,0,0,Type III secretion protein hrcQb,NONE,O85094,NONE,NONE,"NONE
"
1qwg_A_cavity_2,3,2.425,0.8083,3,0,0,0,0,0,Phosphosulfolactate synthase,NONE,Q57703,NONE,NONE,"NONE
