rank,name,uniprot,species,score,simiscore
1,Cannabinoid Receptor 1,Q5IS73,Homo sapiens,0.035,1.532
2,PDGFR-beta,P09619,Homo sapiens,0.118,1.52
3,tissue-nonspecific alkaline phosphatase precursor,Q5BKZ5,Homo sapiens,0.047,1.49
4,Dual specificity phosphatase Cdc25C,Q9H2F1,Homo sapiens,0.036,1.49
5,"Glycogen Synthase Kinase-3, beta",D3DN89,Homo sapiens,1.0,1.482
6,carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 isoform 1,Q9GZU7,Homo sapiens,0.034,1.476
7,phospholipase D2 isoform PLD2A,Q6PGR0,Homo sapiens,0.023,1.467
8,Metabotropic glutamate receptor 1,P23385,Rattus norvegicus,0.234,1.462
9,Mitogen-activated protein kinase 10 (Stress-activated protein kinase JNK3) (c-Jun N-terminal kinase 3) (MAP kinase p49 3F12).,A6NG28,Homo sapiens,0.035,1.455
10,Botulinum neurotoxin type A,P10845,Clostridium botulinum,0.057,1.453
11,MEK-1,Q02750,Homo sapiens,0.011,1.451
12,Metabotropic glutamate receptor 1,Q13255,Homo sapiens,0.129,1.446
13,Adenosine A1 receptor,A5PJR1,Bos taurus,0.147,1.446
14,Adenosine A3 Receptor,A2A3P4,Homo sapiens,0.128,1.445
15,beta-Amyloid Precursor Protein (APP),Q16014,Homo sapiens,0.506,1.443
16,electroneutral potassium-chloride cotransporter KCC2,n/a,Homo sapiens,0.034,1.44
17,v-rel reticuloendotheliosis viral oncogene homolog A isoform 1,Q6GTV1,Homo sapiens,0.447,1.439
18,Tyrosine-protein kinase SRC,P12931,Homo sapiens,0.242,1.431
19,GABA receptor alpha-1 subunit/GABA receptor alpha-2 subunit/GABA receptor alpha-3 subunit/GABA receptor alpha-4 subunit/GABA receptor beta-1 subunit/GABA receptor gamma-2 subunit/Peripheral-typ,P08219,Bos taurus,0.046,1.43
20,Monoamine Oxidase Type A (MAO-A),Q63817,Rattus norvegicus (rat),0.058,1.428
21,Aldosterone Synthase,P19099,Homo sapiens,0.011,1.428
22,"Glycogen Synthase Kinase-3, alpha",P49840,Homo sapiens,0.426,1.428
