,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,3VNL,2.991,0.7477,NONE,ISOMERASE,ISOMERASES,NONE,False
1,2CST,2.984,0.7459,"Aspartate aminotransferase, cytoplasmic",TRANSFERASE(AMINOTRANSFERASE),TRANSFERASES,P00504,False
2,1PW4,2.963,0.7408,Glycerol-3-phosphate transporter,MEMBRANE PROTEIN,TRANSLOCASES,P08194,False
3,2IG7,2.955,0.7389,Choline/ethanolamine kinase,TRANSFERASE,TRANSFERASES,Q9Y259,False
4,1A6Z,2.942,0.7355,Hereditary hemochromatosis protein,MHC CLASS I COMPLEX,OTHER,Q30201,False
5,1IRZ,2.936,0.734,Two-component response regulator ARR10,DNA BINDING PROTEIN,OTHER,O49397,False
6,2I7X,2.927,0.7317,Cleavage and polyadenylation specificity factor subunit 3,"RNA BINDING PROTEIN, PROTEIN BINDING",OTHER,CPSF3_HUMAN,False
7,1JL2,2.927,0.7316,Ribonuclease HI,HYDROLASE,HYDROLASES,P0A7Y6,False
8,1K7A,2.919,0.7297,Protein C-ets-1,TRANSCRIPTION/DNA,OTHER,P27577,False
9,1W1G,2.91,0.7274,3-phosphoinositide-dependent protein kinase 1,TRANSFERASE,TRANSFERASES,PDPK1_HUMAN,False
10,2E8X,2.908,0.7271,Geranylgeranyl pyrophosphate synthetase,TRANSFERASE,TRANSFERASES,Q12051,False
11,1LK3,2.891,0.7227,Interleukin-10,IMMUNE SYSTEM,OTHER,IL10_HUMAN,False
12,3CPR,2.882,0.7205,Dihydrodipicolinate synthase,LYASE,LYASES,P19808,False
13,2AQT,2.863,0.7157,Superoxide dismutase [Cu-Zn],OXIDOREDUCTASE,OXIDOREDUCTASES,Q59623,False
14,1KHV,2.862,0.7155,Genome polyprotein,TRANSFERASE,TRANSFERASES,P27410,False
15,1UYR,2.844,0.7109,Acetyl-CoA carboxylase,TRANSFERASE,TRANSFERASES,Q00955,False
16,1HK8,2.835,0.7088,Anaerobic ribonucleoside-triphosphate reductase,OXIDOREDUCTASE,OXIDOREDUCTASES,P07071,False
17,2CV8,2.818,0.7045,tRNA-splicing endonuclease,HYDROLASE,HYDROLASES,Q975R3,False
18,1W07,2.818,0.7044,"Acyl-coenzyme A oxidase 1, peroxisomal",OXIDOREDUCTASE,OXIDOREDUCTASES,O65202,False
19,2OQC,2.816,0.7041,Uncharacterized protein yxeI,HYDROLASE,HYDROLASES,P54948,False
20,1Y8E,2.813,0.7031,Complement control protein,ERROR try this entry again,OTHER,P68638,False
21,1M1B,2.783,0.6957,Phosphoenolpyruvate phosphomutase,ISOMERASE,ISOMERASES,P56839,False
22,1U94,2.766,0.6914,Protein recA,DNA BINDING PROTEIN,OTHER,P0A7G6,False
23,2NR0,2.727,0.6817,tRNA pseudouridine synthase A,ISOMERASE/RNA,ISOMERASES,P07649,False
24,2VRE,2.711,0.6777,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",ISOMERASE,ISOMERASES,Q13011,False
25,2EON,2.697,0.6742,Zinc finger protein with KRAB and SCAN domains 5,TRANSCRIPTION,OTHER,ZKSC5_HUMAN,False
26,1E60,2.654,0.6636,Dimethyl sulfoxide/trimethylamine N-oxide reductase,OXIDOREDUCTASE,OXIDOREDUCTASES,Q52675,False
27,2GNX,2.626,0.6566,UPF0536 protein C12orf66 homolog,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q6P1I3,False
