,Id,Fit,Norm Fit,Name,Keywords,Class,UNIPROT,Trypanosomatida
0,4US0,3.999,0.9998,NONE,SIGNALING PROTEIN,OTHER,NONE,False
1,2NVB,3.986,0.9964,NADP-dependent alcohol dehydrogenase,OXIDOREDUCTASE,OXIDOREDUCTASES,P14941,False
2,1JQK,3.984,0.9961,Carbon monoxide dehydrogenase,OXIDOREDUCTASE,OXIDOREDUCTASES,P31896,False
3,1U2E,3.98,0.9949,2-hydroxy-6-oxononadienedioate/2-hydroxy-6-oxononatrienedioate hydrolase,HYDROLASE,HYDROLASES,P77044,False
4,2FSF,3.977,0.9941,Protein translocase subunit secA,PROTEIN TRANSPORT,TRANSLOCASES,SECA_ECOLI,False
5,3FMO,3.839,0.9598,Nuclear pore complex protein Nup214,Oncoprotein/Hydrolase,OTHER,P35658,False
6,1UZL,3.739,0.9348,3-oxoacyl-[acyl-carrier-protein] reductase,OXIDOREDUCTASE,OTHER,P0A5Y4,False
7,2K49,2.798,0.9325,UPF0339 protein SO_3888,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,Q8EAL4,False
8,2YWW,4.464,0.8927,Aspartate carbamoyltransferase regulatory chain,METAL BINDING PROTEIN,OTHER,Q58801,False
9,1WFH,3.566,0.8914,Zinc finger A20 and AN1 domain-containing stress-associated protein 4,METAL BINDING PROTEIN,OTHER,Q9SJM6,False
10,2AQT,3.529,0.8823,Superoxide dismutase [Cu-Zn],OXIDOREDUCTASE,OXIDOREDUCTASES,Q59623,False
11,1LNS,4.378,0.8755,Xaa-Pro dipeptidyl-peptidase,HYDROLASE,HYDROLASES,P22346,False
12,2VIG,4.369,0.8737,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",OXIDOREDUCTASE,OXIDOREDUCTASES,P16219,False
13,1W07,3.473,0.8684,"Acyl-coenzyme A oxidase 1, peroxisomal",OXIDOREDUCTASE,OXIDOREDUCTASES,O65202,False
14,1Y1U,4.333,0.8667,Signal transducer and activator of transcription 5A,SIGNALING PROTEIN,OTHER,P42230,False
15,1BUC,4.294,0.8587,"Acyl-CoA dehydrogenase, short-chain specific",OXIDOREDUCTASE,OXIDOREDUCTASES,Q06319,False
16,9AAT,3.428,0.857,"Aspartate aminotransferase, mitochondrial",TRANSFERASE(AMINOTRANSFERASE),TRANSFERASES,P00508,False
17,1VCP,4.283,0.8567,Structural polyprotein,VIRAL PROTEIN,OTHER,P03315,False
18,2ET1,4.247,0.8493,Oxalate oxidase 1,OXIDOREDUCTASE,OXIDOREDUCTASES,P45850,False
19,2ROW,2.538,0.8459,Rho-associated protein kinase 2,TRANSFERASE,TRANSFERASES,Q62868,False
20,2CO9,3.358,0.8395,Thymocyte selection-associated high mobility group box protein TOX,TRANSCRIPTION,OTHER,Q66JW3,False
21,3DM0,4.16,0.832,Guanine nucleotide-binding protein subunit beta-like protein,"Sugar Binding Protein,Signaling Protein",OTHER,O24456,False
22,1G01,4.047,0.8093,Endoglucanase,HYDROLASE,HYDROLASES,P19424,False
23,1KHV,3.237,0.8093,Genome polyprotein,TRANSFERASE,OTHER,P27410,False
24,1FCX,4.015,0.803,Retinoic acid receptor gamma,GENE REGULATION,OTHER,RARG_HUMAN,False
25,1E60,3.209,0.8022,Dimethyl sulfoxide/trimethylamine N-oxide reductase,OXIDOREDUCTASE,OXIDOREDUCTASES,Q52675,False
26,3EXA,3.972,0.7944,tRNA Delta(2)-isopentenylpyrophosphate transferase,TRANSFERASE,TRANSFERASES,Q9KAC3,False
27,1ODO,2.375,0.7915,Putative cytochrome P450,OXIDOREDUCTASE,OTHER,Q9KZR7,False
28,1WYM,3.064,0.766,Transgelin-2,STRUCTURAL PROTEIN,OTHER,P37802,False
29,1X65,4.594,0.7656,Cold shock domain-containing protein E1,RNA BINDING PROTEIN,OTHER,O75534,False
30,1QOX,3.747,0.7493,Beta-glucosidase,HYDROLASE,HYDROLASES,Q03506,False
31,1OZG,2.996,0.7491,"Acetolactate synthase, catabolic",LYASE,TRANSFERASES,P27696,False
32,3B3D,2.992,0.748,Uncharacterized oxidoreductase ytbE,OXIDOREDUCTASE,OXIDOREDUCTASES,O34678,False
33,2CSX,2.988,0.7469,Methionyl-tRNA synthetase,Ligase/RNA,LIGASES,O67298,False
34,3BFX,4.476,0.746,Sulfotransferase 1C2,TRANSFERASE,TRANSFERASES,ST1C2_HUMAN,False
35,1KP9,4.475,0.7459,Cyclopropane-fatty-acyl-phospholipid synthase 1,TRANSFERASE,OTHER,P0C5C2,False
36,1YY3,4.472,0.7453,S-adenosylmethionin,ISOMERASE,TRANSFERASES,O32054,False
37,1ZR4,2.981,0.7452,Transposon gamma-delta resolvase,RECOMBINATION/DNA,OTHER,P03012,False
38,2DBA,2.976,0.744,Protein unc-45 homolog A,STRUCTURAL PROTEIN,OTHER,Q9H3U1,False
39,2IKQ,4.464,0.7439,Ubiquitin-associated and SH3 domain-containing protein B,"SIGNALING PROTEIN, IMMUNE SYSTEM",HYDROLASES,Q8BGG7,False
40,2IU3,3.706,0.7412,Bifunctional purine biosynthesis protein PURH,HYDROLASE,OTHER,P31335,False
41,2ZXH,4.438,0.7396,tRNA uridine 5-carboxymethylaminomethyl modification enzyme mnmG,FAD-BINDING PROTEIN,OTHER,O66962,False
42,2D5N,2.957,0.7392,Riboflavin biosynthesis protein ribD,"HYDROLASE, OXIDOREDUCTASE",OTHER,P17618,False
43,1VHN,4.429,0.7382,Hypothetical protein,"Structural genomics, unknown function",OXIDOREDUCTASES,Q9WXV1,False
44,3CSK,4.411,0.7351,Probable dipeptidyl-peptidase 3,HYDROLASE,HYDROLASES,Q08225,False
45,1IDJ,4.404,0.7341,Pectin lyase A,LYASE,LYASES,Q01172,False
46,2GB5,4.4,0.7333,NADH pyrophosphatase,HYDROLASE,HYDROLASES,P32664,False
47,2YRV,2.933,0.7333,AT-rich interactive domain-containing protein 4A,TRANSCRIPTION,OTHER,P29374,False
48,2F4M,4.392,0.732,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,HYDROLASE,HYDROLASES,Q9JI78,False
49,2V68,4.386,0.731,Ribulose bisphosphate carboxylase large chain,OXIDOREDUCTASE,LYASES,P00877,False
50,1S40,4.383,0.7304,Cell division control protein 13,CELL CYCLE/DNA,OTHER,P32797,False
51,1LRW,4.378,0.7296,Methanol dehydrogenase subunit 1,OXIDOREDUCTASE,OXIDOREDUCTASES,P12293,False
52,2ENJ,4.378,0.7296,Protein kinase C theta type,TRANSFERASE,TRANSFERASES,KPCT_HUMAN,False
53,2B61,4.372,0.7287,Homoserine O-acetyltransferase,TRANSFERASE,TRANSFERASES,P45131,False
54,1K8T,4.367,0.7278,Calmodulin-sensitive adenylate cyclase,"TOXIN,LYASE",LYASES,P40136,False
55,1GTT,2.906,0.7264,Homoprotocatechuate catabolism bifunctional isomerase/decarboxylase,ISOMERASE,OTHER,P37352,False
56,2R4V,2.903,0.7257,Chloride intracellular channel protein 2,TRANSPORT PROTEIN,OTHER,O15247,False
57,2NZ2,2.9,0.7249,Argininosuccinate synthase,LIGASE,LIGASES,P00966,False
58,1V4A,2.897,0.7242,Glutamate-ammonia-ligase adenylyltransferase,TRANSFERASE,OTHER,P30870,False
59,2I7X,2.897,0.7242,Cleavage and polyadenylation specificity factor subunit 3,"RNA BINDING PROTEIN, PROTEIN BINDING",HYDROLASES,CPSF3_HUMAN,False
60,1VRB,4.345,0.7241,Uncharacterized protein yxbC,OXIDOREDUCTASE,OTHER,P46327,False
61,2I0F,4.344,0.724,"6,7-dimethyl-8-ribityllumazine synthase 1",TRANSFERASE,TRANSFERASES,Q57DY1,False
62,1K3V,4.327,0.7212,Coat protein VP1,VIRUS,OTHER,P18546,False
63,1YG9,4.325,0.7208,Aspartic protease Bla g 2,"HYDROLASE, ALLERGEN",HYDROLASES,P54958,False
64,1E19,2.875,0.7187,Carbamate kinase,TRANSFERASE,TRANSFERASES,P95474,False
65,1VEG,4.306,0.7177,NEDD8 ultimate buster 1,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,P54729,False
66,1AHS,4.302,0.717,Core protein VP7,VIRAL PROTEIN,OTHER,P36325,False
67,1V1F,4.3,0.7166,Calcineurin B-like protein 4,SIGNALLING PROTEIN,OTHER,O81223,False
68,2YU4,4.299,0.7165,E3 SUMO-protein ligase NSE2,APOPTOSIS,TRANSFERASES,Q96MF7,False
69,2Z5V,2.866,0.7164,Myeloid differentiation primary response protein MyD88,IMMUNE SYSTEM,OTHER,Q99836,False
70,3GWJ,4.287,0.7145,Arylphorin,OXYGEN TRANSPORT,OTHER,Q7Z1F8,False
71,1DDM,3.569,0.7137,Protein numb,SIGNALING PROTEIN/TRANSFERASE,OTHER,P16554,False
72,2R7X,4.264,0.7106,RNA-directed RNA polymerase,transferase/RNA,TRANSFERASES,O37061,False
73,1W6J,4.256,0.7094,Lanosterol synthase,ISOMERASE,ISOMERASES,ERG7_HUMAN,False
74,1KMH,4.254,0.709,"ATP synthase subunit alpha, chloroplastic",HYDROLASE,TRANSLOCASES,P06450,False
75,2IG7,4.234,0.7057,Choline/ethanolamine kinase,TRANSFERASE,OTHER,Q9Y259,False
76,2I2L,4.194,0.699,SPBc2 prophage-derived uncharacterized protein yopX,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,O34401,False
77,2CSW,4.191,0.6985,E3 ubiquitin-protein ligase RNF8,LIGASE,TRANSFERASES,O76064,False
78,2APO,4.181,0.6968,Probable tRNA pseudouridine synthase B,Isomerase/RNA binding protein,ISOMERASES,Q57612,False
79,2P4B,4.173,0.6955,Sigma-E factor regulatory protein rseB,SIGNALING PROTEIN,OTHER,P0AFX9,False
80,1OVQ,4.161,0.6935,Putative Holliday junction resolvase,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",HYDROLASES,P0A8I1,False
81,1XPO,2.769,0.6922,Transcription termination factor rho,TRANSCRIPTION/RNA,HYDROLASES,P0AG30,False
82,2E0G,2.765,0.6911,Chromosomal replication initiator protein dnaA,REPLICATION,OTHER,P03004,False
83,1PN0,2.764,0.691,Phenol 2-monooxygenase,OXIDOREDUCTASE,OXIDOREDUCTASES,P15245,False
84,2PH7,2.749,0.6871,Uncharacterized protein AF_2093,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",OTHER,O28187,False
85,2IDB,2.731,0.6827,3-octaprenyl-4-hydroxybenzoate carboxy-lyase,LYASE,LYASES,P0AAB4,False
86,2QVV,4.765,0.6807,"Fructose-1,6-bisphosphatase 1",HYDROLASE,HYDROLASES,P00636,False
87,1SMQ,4.082,0.6803,Ribonucleoside-diphosphate reductase small chain 1,OXIDOREDUCTASE,OXIDOREDUCTASES,P09938,False
88,2RFO,2.718,0.6796,Nucleoporin NIC96,STRUCTURAL PROTEIN,OTHER,P34077,False
89,1JL2,2.714,0.6785,Ribonuclease HI,HYDROLASE,HYDROLASES,P0A7Y6,False
90,1F5Z,4.064,0.6774,N-acetylneuraminate lyase,LYASE,LYASES,P44539,False
91,1VYH,4.053,0.6756,Platelet-activating factor acetylhydrolase IB subunit beta,HYDROLASE,HYDROLASES,PA1B2_HUMAN,False
92,1XDZ,4.043,0.6738,Ribosomal RNA small subunit methyltransferase G,TRANSFERASE,TRANSFERASES,P25813,False
93,1NU9,3.363,0.6726,Prothrombin,HYDROLASE/HYDROLASE INHIBITOR,HYDROLASES,THRB_HUMAN,False
94,1ZXN,4.026,0.671,DNA topoisomerase 2-alpha,ISOMERASE,ISOMERASES,TOP2A_HUMAN,False
95,3BKB,4.017,0.6695,Proto-oncogene tyrosine-protein kinase Fes/Fps,TRANSFERASE,TRANSFERASES,FES_HUMAN,False
96,1S0W,4.014,0.669,Beta-lactamase TEM,HYDROLASE,HYDROLASES,P62594,False
97,1U94,2.667,0.6667,Protein recA,DNA BINDING PROTEIN,OTHER,P0A7G6,False
98,1YIV,5.317,0.6647,Myelin P2 protein,LIPID TRANSPORT,OTHER,P0C6G6,False
99,2Q3M,3.98,0.6634,Flavonol sulfotransferase-like,TRANSFERASE,TRANSFERASES,P52839,False
