rank,name,uniprot,species,score,simiscore
1,polo-like kinase,Q15153,Homo sapiens,0.045,1.615
2,Cannabinoid Receptor 2,P34972,Homo sapiens,0.581,1.613
3,Factor XIa (fXIa),n/a,Homo sapiens,0.083,1.6
4,Hsf1 protein,n/a,Mus musculus,0.283,1.587
5,Steroidogenic factor 1,Q13285,Homo sapiens,0.032,1.586
6,Nuclear receptor 0B1,P51843,Homo sapiens,0.032,1.586
7,caspase-3 preproprotein,Q96KP2,Homo sapiens,0.263,1.584
8,"eukaryotic translation initiation factor 4 gamma, 1 isoform 4",O43177,Homo sapiens,0.042,1.584
9,Cyclooxygenase-1/Cyclooxygenase-2,P35355,Rattus norvegicus,0.042,1.578
10,PhoP,n/a,Salmonella enterica,0.022,1.578
11,Monoamine Oxidase Type A (MAO-A),Q63817,Rattus norvegicus (rat),0.169,1.575
12,Mitogen-Activated Protein Kinase 8 (JNK1),P45983,Homo sapiens,1.0,1.57
13,Coagulation factor XII precursor (Hageman factor) (HAF),P00748,Homo sapiens,0.042,1.565
14,Inosine-5-monophosphate dehydrogenase (IMPDH),Q8T6T2,Cryptosporidium parvum,0.022,1.563
15,lethal factor,P15917,Bacillus anthracis,0.01,1.56
16,v-rel reticuloendotheliosis viral oncogene homolog A isoform 1,Q6GTV1,Homo sapiens,0.202,1.56
17,Botulinum neurotoxin type A,A5HZZ9,Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A),0.012,1.56
18,"Translation factor GUF1, mitochondrial",D6VYT5,Saccharomyces cerevisiae,0.022,1.552
19,Cytochrome P450 24A1,Q15807,Homo sapiens,0.063,1.547
20,Heat Shock Protein 90 (Hsp90),B3KPJ9,Homo sapiens,0.042,1.546
21,Dihydroorotate dehydrogenase,A8K8C8,Homo sapiens,0.022,1.543
22,Butyrylcholinesterase (BuChE),A8K7P8,Homo sapiens,0.141,1.541
23,Melanin-Concentrating Hormone Receptor 1,Q9BV08,Homo sapiens,0.102,1.533
24,matrix metalloproteinase 1,n/a,Homo sapiens,0.022,1.532
25,Cytochrome P450 17A1,P11715,Rattus norvegicus,0.104,1.532
26,formyl peptide receptor 1,Q86U52,Homo sapiens,0.022,1.531
27,Tubulin alpha chain /alpha-1 chain /beta chain,n/a,Bos taurus,0.106,1.531
28,Amine oxidase [flavin-containing] A,P21397,Homo sapiens,0.018,1.531
29,MONOAMINE OXIDASE,P27338,Homo sapiens,0.023,1.531
30,Bfl-1,Q07440,Mus musculus (Mouse),0.022,1.528
31,Serotonin Receptor 1A,P19327,Rattus norvegicus,0.022,1.526
32,Poly [ADP-ribose] polymerase-1,Q8IUZ9,Homo sapiens,0.123,1.526
33,MPI protein,n/a,Homo sapiens,0.163,1.523
34,Ephrin type-B receptor 2,Q5T0U6,Homo sapiens,0.022,1.522
35,Prolyl endopeptidase,P48147,Homo sapiens,0.007,1.521
36,Seprase,P97321,Mus musculus,0.014,1.521
37,Aldosterone Synthase,B0ZBE4,Homo sapiens,0.185,1.52
38,inward rectifier potassium channel 2,P35561,Mus musculus,0.022,1.52
39,Metabotropic glutamate receptor 1,P23385,Rattus norvegicus,0.064,1.52
40,ATP-Binding Cassette Transporter ABCG2,Q96LD6,Homo sapiens,0.124,1.518
41,DNA damage-inducible transcript 3 protein,Q91YW9,Mus musculus,0.081,1.513
42,Melanocortin receptor 5,Q502V1,Homo sapiens,0.021,1.507
43,Alpha-1d adrenergic receptor,P23944,Rattus norvegicus,0.062,1.506
44,"mRNA interferase toxin, antitoxin is MazE",P0AE71,Escherichia coli str. K-12 substr. MG1655,0.062,1.502
45,Cytochrome P450 24A1,Q63685,Rattus norvegicus,0.161,1.501
46,3-oxoacyl-[acyl-carrier-protein] synthase III,P0A575,Mycobacterium tuberculosis,0.042,1.5
47,Janus kinase 2 (a protein tyrosine kinase),O60674,Homo sapiens,0.042,1.499
