"Ligand: 100953898
"
Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease,"Idication
"
4b5g_C_cavity_2,4,2.923,0.7307,2,2,0,0,0,0,NONE,NONE,NONE,NONE,NONE,"NONE
"
1lk3_I_cavity_1,4,2.921,0.7303,3,1,0,0,0,0,Interleukin-10,IMMUNE SYSTEM,IL10_HUMAN,"Inhibits the synthesis of a number of cytokines, including IFN-gamma, IL-2, IL-3, TNF and GM-CSF produced by activated macrophages and by helper T-cells.","Defects in IL10 are a cause of susceptibility to Crohn disease (CD) [MIM:266600]. CD is a form of remitting inflammatory bowel disease (IBD). CD may involve any part of the gastrointestinal tract, but most frequently the terminal ileum and colon. Bowel inflammation is transmural and discontinuous. Crohn disease is commonly classified as autoimmune disease.","NONE
"
1k7a_A_cavity_1,4,2.886,0.7216,2,2,0,0,0,0,Protein C-ets-1,NONE,P27577,NONE,NONE,"NONE
"
1uyr_A_cavity_7,4,2.812,0.703,3,1,0,0,0,0,Acetyl-CoA carboxylase,NONE,Q00955,Lipid transport and metabolism,NONE,"For nutritional supplementation, also for treating dietary shortage or imbalance
"
1w07_B_cavity_5,4,2.76,0.6901,2,2,0,0,0,0,"Acyl-coenzyme A oxidase 1, peroxisomal",NONE,O65202,Involved in acyl-CoA oxidase activity,NONE,"NONE
"
2oqc_A_cavity_5,4,2.76,0.69,3,0,0,0,1,0,Uncharacterized protein yxeI,NONE,P54948,NONE,NONE,"NONE
"
1m1b_B_cavity_4,4,2.722,0.6805,3,0,0,0,1,0,Phosphoenolpyruvate phosphomutase,NONE,P56839,Carbohydrate transport and metabolism,NONE,"NONE
"
2eon_A_cavity_1,4,2.594,0.6484,2,2,0,0,0,0,Zinc finger protein with KRAB and SCAN domains 5,TRANSCRIPTION,ZKSC5_HUMAN,May be involved in transcriptional regulation.,NONE,"NONE
"
1ka9_F_cavity_2,4,2.465,0.6162,2,1,0,1,0,0,Imidazole glycerol phosphate synthase subunit hisF,NONE,Q7SIB9,NONE,NONE,"NONE
"
2aqt_B_cavity_1,4,2.434,0.6085,1,2,0,0,1,0,Superoxide dismutase [Cu-Zn],NONE,Q59623,NONE,NONE,"NONE
"
1bsl_B_cavity_1,5,2.918,0.5836,4,0,0,0,1,0,Alkanal monooxygenase beta chain,NONE,P07739,NONE,NONE,"NONE
"
