rank,name,uniprot,species,score,simiscore
1,3-oxoacyl-[acyl-carrier-protein] synthase III,P0A575,Mycobacterium tuberculosis,0.037,1.682
2,"Translation factor GUF1, mitochondrial",D6VYT5,Saccharomyces cerevisiae,0.037,1.669
3,Arachidonate 5-lipoxygenase,P12527,Rattus norvegicus,0.948,1.582
4,v-rel reticuloendotheliosis viral oncogene homolog A isoform 1,Q6GTV1,Homo sapiens,0.694,1.577
5,ubiquitin-conjugating enzyme E2 N,Q16781,Homo sapiens,0.066,1.573
6,caspase-3 preproprotein,Q96KP2,Homo sapiens,0.69,1.56
7,Aromatase (CYP19),Q16731,Homo sapiens,0.29,1.551
8,Metabotropic glutamate receptor 4,Q5SZ84,Homo sapiens,0.129,1.546
9,Cytochrome P450 24A1,Q63685,Rattus norvegicus,0.196,1.543
10,HIV-1 Protease chain A,n/a,Human immunodeficiency virus 1,0.134,1.54
11,"Sterol 26-hydroxylase, mitochondrial",Q86YQ6,Homo sapiens,0.102,1.54
12,Human rhinovirus A protease,n/a,Human rhinovirus A,0.196,1.535
13,Glycogen Phosphorylase (PYGM),P00489,Oryctolagus cuniculus,0.034,1.528
14,Apoptotic peptidase activating factor 1,O43297,Homo sapiens,0.098,1.528
15,"Indoleamine 2,3-Dioxygenase",Q540B4,Homo sapiens,0.549,1.527
16,corticotropin releasing factor-binding protein,n/a,Homo sapiens,0.38,1.526
17,Human herpes virus 5 capsid protein P40,P16753,Human cytomegalovirus (strain AD169) (HHV-5) (Human herpesvirus 5),0.286,1.524
18,LacZ protein,n/a,Escherichia coli,0.097,1.524
19,Dipeptidyl Peptidase IV (DPP-IV),Q53TN1,Homo sapiens,0.16,1.521
20,Monoamine Oxidase Type B (MAO-B),n/a,Homo sapiens,0.128,1.515
21,Huntingtin (Huntington disease protein) (HD protein).,n/a,Homo sapiens,0.065,1.514
22,Serotonin 3a (5-HT3a)/3b (5-HT3b) receptor,n/a,Rattus norvegicus,0.065,1.513
23,DNA damage-inducible transcript 3 protein,Q91YW9,Mus musculus,0.064,1.513
24,Tyrosinase,O42713,Agaricus bisporus,0.125,1.511
25,Arachidonate 5-lipoxygenase,P48999,Mus musculus,0.159,1.511
26,Monoamine Oxidase Type A (MAO-A),P21397,Homo sapiens,0.286,1.509
27,"eukaryotic translation initiation factor 4 gamma, 1 isoform 4",O43177,Homo sapiens,0.22,1.507
28,tyrosine-protein kinase ABL1 isoform a,Q13870,Homo sapiens,0.033,1.507
29,Hsf1 protein,n/a,Mus musculus,0.782,1.505
30,hexokinase,n/a,Trypanosoma brucei,0.127,1.502
31,Cytochrome P450 17A1,P11715,Rattus norvegicus,0.064,1.498
32,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1",Q9NYN8,Homo sapiens,0.064,1.497
33,alpha-Chymotrypsin,P00766,Bos taurus,0.033,1.497
34,Bfl-1,Q07440,Mus musculus (Mouse),0.033,1.495
35,placental-like alkaline phosphatase preproprotein,Q16727,Homo sapiens,0.096,1.494
36,Monoamine oxidase B,B2R6R3,Homo sapiens,0.664,1.493
37,Butyrylcholinesterase (BChE),n/a,Equus caballus (Horse),0.163,1.492
38,Androgen Receptor (AR),Q9UD95,Homo sapiens,0.098,1.49
39,"Glycogen Synthase Kinase-3, beta",D3DN89,Homo sapiens,0.033,1.49
40,Complement C1r,P00736,Homo sapiens,1.0,1.487
41,Protein kinase Pfmrk,n/a,Plasmodium falciparum,0.348,1.486
42,Dihydrofolate reductase,P00376,Bos taurus,0.033,1.482
43,TPA: Essential protein of the mitochondrial intermembrane space,D3DKU9,Saccharomyces cerevisiae S288c,0.157,1.481
44,Metabotropic glutamate receptor 1,P23385,Rattus norvegicus,0.187,1.48
